Title,Identifier,Creators,Supervisors,Lang,Subjects,SubjectsVDP,Date,Institute,FacultyShort,FacultyLong,InstituteShort,InstituteLong,MasterProg,LangNorm
«Risikofaktorer og komplikasjoner knyttet til innleggelse og bruk av PICC-line ved et større universitetssykehus i Norge»,https://hdl.handle.net/10642/5576,"Olsen, Gitte Lise","Valeberg, Berit Taraldsen",nb,Peripherally inserted central catheter|Infeksjon|Tromboflebitt|Trombose|Okklusjon,VDP::Medisinske Fag: 700::Helsefag: 800::Sykepleievitenskap: 808,2016,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
Når barnet ikke vil. En kvalitativ masteroppgave om anestesisykepleieres erfaringer med barn som motsetter seg anestesi og bruk av tvang.,https://hdl.handle.net/10642/6351,"Steffensen, Kristine|Ellevseth, Cathrine","Valeberg, Berit Taraldsen|Lohne, Vibeke",nb,Barneanestesi|tvang|Anestesisykepleie,VDP::Medisinske Fag: 700::Helsefag: 800::Sykepleievitenskap: 808,2017,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
Oksykodon versus fentanyl – hvilket opioid administrert intravenøst ved avslutning av laparoskopisk kirurgi har best effekt på postoperative smerter?  En systematisk oversikt,https://hdl.handle.net/11250/2753857,"Nybru, Karin|Rudjord Biribakken, Ingrid|Hans, Philipp","Leegaard, Marit",nb,Laparoskopisk kirurgi|Fentanyl|Oksykodon|Postoperative smerter|Postoperativ kvalme|Laparoscopic surgery|Oxycodone|Postoperative pains|Postoperative nausea,,2020,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
Kartlegging og evaluering av standardisert smertebehandlingsregime hos pasienter som gjennomgår ryggfiksasjon: et kvalitetssikringsarbeid,https://hdl.handle.net/10642/7610,"Tolentino, Ethel","Dihle, Alfhild",nb,Ryggfiksasjon|Ryggkirurgi|Anestesi|Postoperativ smerte|Multimodal smertelindring|Standardisert smertelindring,VDP::Medisinske Fag: 700::Klinisk medisinske fag: 750::Anestesiologi: 765,2018,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
Anestesisykepleierens funksjon ved innleggelse av perifert venekateter (PVK) på pasienter med vanskelig venetilgang,https://hdl.handle.net/10642/6368,"Krippendorf, Hege Kristin","Husby, Vigdis Schnell",nb,Perifert venekateter|Ressurdsforvaltning|Tidsforvaltning|Kostnader,VDP::Medisinske Fag: 700::Helsefag: 800::Sykepleievitenskap: 808,2018,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
Tvang i barneanestesi - hvor går grensen?,https://hdl.handle.net/10642/9200,"Riddervold, Bente S.","Valeberg, Berit T.|Lohne, Vibeke",nb,Anestesi|Anestesisykepleie|Barneanestesi|Førskolebarn|Tvang|Ufrivillig fastholding|Anesthesia|Anesthetic nursing|Pediatric anaesthesia|Pre-schoolers|Coercion|Involuntary restraint,,2020,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
Administrering av vasopressorinfusjon ved anestesiindusert hypotensjon - forslag til fagprosedyre,https://hdl.handle.net/11250/2753917,"Alfamirova, Anna|Sørlie, Hilde A.","Leegaard, Marit",nb,Anestesiindusert hypotensjon|Vasopressorinfusjoner|Noradrenalin|Fenylefrin|Perifer administrering|Sentral administrering|Anesthesia-induced hypotension|Vasopressor infusions|Norepinephrine|Phenylephrine|Central administration|Peripheral administration,,2020,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
Elektroencefalogram og spektrogram – Erfaringer med ett nytt verktøy for søvndybdemåling under generell anestesi,https://hdl.handle.net/11250/2753926,"Eriksrud, Magnus Lund|Kleiverud, Stein Gunnar","Dihle, Alfhild",nb,Anestesisykepleie|Elektroencefalogram|Søvnmonitorer|Kvalitativ forskning|Fokusgruppeintervjuer|Nurse anaesthetists|Electroencephalography|Consciousness monitors|Qualitative research|Focus groups,,2020,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
En internettbasert tverrsnittstudie om hvordan anestesisykepleiere overvåker og vurderer nevromuskulær blokade,https://hdl.handle.net/10642/7606,"Elboth, Monica Sandvik","Valeberg, Berit Taraldsen",nb,Nevromuskulære blokader|Ikke-depolariserende muskelrelaksantia|Nervestimulatorer|Gjenstående muskelblokader|Restcurarisering|Internettbaserte spørreundersøkelser,VDP::Medisinske Fag: 700::Klinisk medisinske fag: 750::Anestesiologi: 765,2018,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
Hvordan opplever pasienter våken kraniotomi? En kvalitativ deskriptiv studie med semistrukturerte dybdeintervjuer.,https://hdl.handle.net/10642/4854,"Aasheim, Anders","Leegaard, Marit",nb,utholdelighet|smertefrihet|angstdemping|fortrolighet,VDP::Medisinske Fag: 700::Klinisk medisinske fag: 750::Anestesiologi: 765|VDP::Medisinske Fag: 700::Helsefag: 800::Sykepleievitenskap: 808,2016,HV - Master i Anestesisykepleie,HV,Fakultet for helsefag,SHA,Institutt for sykepleie og helsefremmende arbeid,Master i Anestesisykepleie,nor
